title.x,author.x,author_last.x,title.y,author.y,author_last.y,text_string,occurs,publication_country,formatted_address,country_long,admin_1_long,locality,lat,lon,dist
the man who fell to earth ,"Tevis, Walter S.",Tevis,The man who fell to Earth,"Tevis, Walter S",Tevis,newton,43,US,"Newton, MA, USA",United States,Massachusetts,Newton,42.33704,-71.20922,1
"edwin mullhouse : the life and death of an american writer, 1943-1954, by jeffrey cartwright : a novel ","Millhauser, Steven",Millhauser,"Edwin Mullhouse: the life and death of an American writer, 1943-1954","Millhauser, Steven",Millhauser,penn,71,US,"Pennsylvania, USA",United States,Pennsylvania,,41.2033216,-77.1945247,0
seven japanese tales. ,"Tanizaki, Jun'ichirō",Tanizaki,Seven Japanese tales,"Tanizaki, Junʼichirō",Tanizaki,kyoto,29,,"Kyoto, Kyoto Prefecture, Japan",Japan,Kyoto Prefecture,Kyoto,35.0116363,135.7680294,1
the wings of the dove ,"James, Henry",James,The wings of the dove,"James, Henry",James,london,78,GB,"London, UK",United Kingdom,England,London,51.5073509,-0.1277583,0
who slashed celanire's throat? : a fantastical tale ,"Condé, Maryse",Condé,Who slashed Celanire's throat? : a fantastical tale,"Condé, Maryse",Condé,guadeloupe,55,US,Guadeloupe,Guadeloupe,,,16.265,-61.551,0
the inn at lake devine ,"Lipman, Elinor",Lipman,The Inn at Lake Devine : a novel,"Lipman, Elinor",Lipman,newton,18,US,"Newton, MA, USA",United States,Massachusetts,Newton,42.33704,-71.20922,0
the triumph of the spider monkey ,"Oates, Joyce Carol",Oates,The triumph of the spider monkey : a first-person confession by the maniac Bobbie Gotteson,"Oates, Joyce Carol",Oates,el portal,5,US,"El Portal Restaurant, 695 E Green St, Pasadena, CA 91101, USA",United States,California,Pasadena,34.14516,-118.136,0
the last dance : a novel of the 87th precinct ,"McBain, Ed",McBain,The last dance : a novel of the 87th Precinct,"McBain, Ed",McBain,london,30,US,"London, UK",United Kingdom,England,London,51.50735,-0.1277583,0
selected works: spillway; the antiphon; nightwood.,"Barnes, Djuna",Barnes,Selected works: Spillway The antiphon Nightwood,"Barnes, Djuna",Barnes,paris,27,US,"Paris, France",France,Île-de-France,Paris,48.856614,2.3522219,0
the twelfth physician.,"Gibbs, Willa",Gibbs,The twelfth physician,"Gibbs, Willa",Gibbs,france,82,US,France,France,,,46.227638,2.213749,0
lilac and flag : an old wives' tale of a city ,"Berger, John",Berger,Lilac and flag : an old wives' tale of a city,"Berger, John",Berger,cachan,8,GB,"Cachan, France",France,Île-de-France,Cachan,48.79185,2.331433,0
the water of kane ,"Bushnell, O. A.",Bushnell,The water of Kane,"Bushnell, O. A.",Bushnell,wailuku,160,US,"Wailuku, HI, USA",United States,Hawaii,Wailuku,20.89111,-156.5047,0
"the collected short works, 1907-1919 ","Aldrich, Bess Streeter",Aldrich,"The collected short works, 1907-1919","Aldrich, Bess Streeter",Aldrich,new york,20,US,"New York, NY, USA",United States,New York,New York,40.71278,-74.00594,0
the best short stories of theodore dreiser ,"Dreiser, Theodore",Dreiser,The best short stories of Theodore Dreiser,"Dreiser, Theodore",Dreiser,broadway,16,US,"Broadway, New York, NY, USA",United States,New York,New York,40.7045116,-74.0142757,0
"because it is bitter, and because it is my heart ","Oates, Joyce Carol",Oates,"Because it is bitter, and because it is my heart","Oates, Joyce Carol",Oates,persia,557,US,Iran,Iran,,,32.42791,53.68805,0
morning at jalna.,"De la Roche, Mazo",De la Roche,Morning at Jalna,"De la Roche, Mazo",De la Roche,canada,31,US,Canada,Canada,,,56.130366,-106.346771,0
the long valley ,"Steinbeck, John",Steinbeck,The long valley,"Steinbeck, John",Steinbeck,loma,12,US,"Loma Mountains, Sierra Leone",Sierra Leone,Northern Province,,9.1666667,-11.1166667,0
skipping christmas ,"Grisham, John",Grisham,Skipping Christmas,"Grisham, John",Grisham,peru,12,US,Peru,Peru,,,-9.189967,-75.01515,0
the family orchard : a novel ,"Eve, Nomi",Eve,The family orchard : a novel,"Eve, Nomi",Eve,jerusalem,70,US,"Jerusalem, Israel",Israel,Jerusalem District,Jerusalem,31.76832,35.21371,0
monumental propaganda ,"Voĭnovich, Vladimir",Voĭnovich,Monumental propaganda,"Voĭnovich, Vladimir",Voĭnovich,moscow,69,US,"Moscow, Russia",Russia,Moscow,Moscow,55.75583,37.6173,0
beetle ,"Marsh, Richard",Marsh,The beetle,"Marsh, Richard",Marsh,london,78,US,"London, UK",United Kingdom,England,London,51.50735,-0.1277583,0
mantissa ,"Fowles, John",Fowles,Mantissa,"Fowles, John",Fowles,greece,6,GB,Greece,Greece,,,39.07421,21.82431,0
most secret ,"Shute, Nevil",Shute,Most secret,"Shute, Nevil",Shute,london,66,US,"London, UK",United Kingdom,England,London,51.5073509,-0.1277583,0
the daughters of cain ,"Dexter, Colin",Dexter,The daughters of Cain,"Dexter, Colin",Dexter,oxford,55,US,"University of Oxford, Oxford, Oxfordshire OX1, UK",United Kingdom,,Oxford,51.75663,-1.254704,0
between two worlds i ,"Sinclair, Upton",Sinclair,Between two worlds,"Sinclair, Upton",Sinclair,paris,192,US,"Paris, France",France,Île-de-France,Paris,48.856614,2.3522219,0
how the dead dream : a novel ,"Millet, Lydia",Millet,How the dead dream : a novel,"Millet, Lydia",Millet,los angeles,6,US,"Los Angeles, CA, USA",United States,California,Los Angeles,34.05223,-118.2437,0
balthazar ,"Durrell, Lawrence",Durrell,Balthazar,"Durrell, Lawrence",Durrell,alexandria,48,US,"Alexandria, Alexandria Governorate, Egypt",Egypt,Alexandria Governorate,Alexandria,31.2000924,29.9187387,0
miss lonelyhearts ,"West, Nathanael",West,Miss Lonelyhearts / Nathanael West,"West, Nathanael",West,connecticut,3,US,"Connecticut, USA",United States,Connecticut,,41.6032207,-73.087749,0
